,GEO_ID,NAME,Total_20,Asian_20,Pct_20,COUNTY,STATE,PctState_20,County,Asian_10,Total_10,Pct_10,PCT_DIFF
61,0500000US01123,"Tallapoosa County, Alabama",41311.0,222.0,0.5373871365980005,Tallapoosa County,Alabama,1.52579106375263,"Tallapoosa County, Alabama",197.0,41616.0,0.4733756247597078,0.06401151183829273
62,0500000US01125,"Tuscaloosa County, Alabama",227036.0,3253.0,1.4328124174139782,Tuscaloosa County,Alabama,1.52579106375263,"Tuscaloosa County, Alabama",2306.0,194656.0,1.1846539536412954,0.2481584637726828
63,0500000US01127,"Walker County, Alabama",65342.0,297.0,0.45453154173425975,Walker County,Alabama,1.52579106375263,"Walker County, Alabama",195.0,67023.0,0.2909448995121078,0.16358664222215197
64,0500000US01129,"Washington County, Alabama",15388.0,14.0,0.09097998440343125,Washington County,Alabama,1.52579106375263,"Washington County, Alabama",20.0,17581.0,0.11375917183322906,-0.022779187429797815
65,0500000US01131,"Wilcox County, Alabama",10600.0,7.0,0.0660377358490566,Wilcox County,Alabama,1.52579106375263,"Wilcox County, Alabama",4.0,11670.0,0.03427592116538132,0.03176181468367528
66,0500000US01133,"Winston County, Alabama",23540.0,61.0,0.25913338997451146,Winston County,Alabama,1.52579106375263,"Winston County, Alabama",60.0,24484.0,0.24505799705930403,0.01407539291520743
67,0500000US02013,"Aleutians East Borough, Alaska",3420.0,771.0,22.54385964912281,Aleutians East Borough,Alaska,6.003891512167452,"Aleutians East Borough, Alaska",1130.0,3141.0,35.97580388411334,-13.431944234990532
68,0500000US02016,"Aleutians West Census Area, Alaska",5232.0,1513.0,28.91819571865443,Aleutians West Census Area,Alaska,6.003891512167452,"Aleutians West Census Area, Alaska",1606.0,5561.0,28.879697896061856,0.03849782259257495
69,0500000US02020,"Anchorage Municipality, Alaska",291247.0,27646.0,9.492286615827803,Anchorage Municipality,Alaska,6.003891512167452,"Anchorage Municipality, Alaska",23580.0,291826.0,8.080157354039736,1.412129261788067
70,0500000US02050,"Bethel Census Area, Alaska",18666.0,202.0,1.0821815064823743,Bethel Census Area,Alaska,6.003891512167452,"Bethel Census Area, Alaska",160.0,17013.0,0.9404572973608418,0.1417242091215325
71,0500000US02060,"Bristol Bay Borough, Alaska",844.0,5.0,0.5924170616113744,Bristol Bay Borough,Alaska,6.003891512167452,"Bristol Bay Borough, Alaska",,,,
72,0500000US02063,"Chugach Census Area, Alaska",7102.0,529.0,7.448606026471416,Chugach Census Area,Alaska,6.003891512167452,,,,,
73,0500000US02066,"Copper River Census Area, Alaska",2617.0,17.0,0.6495987772258311,Copper River Census Area,Alaska,6.003891512167452,,,,,
74,0500000US02068,"Denali Borough, Alaska",1619.0,13.0,0.8029647930821495,Denali Borough,Alaska,6.003891512167452,"Denali Borough, Alaska",19.0,1826.0,1.04052573932092,-0.23756094623877044
75,0500000US02070,"Dillingham Census Area, Alaska",4857.0,48.0,0.9882643607164917,Dillingham Census Area,Alaska,6.003891512167452,"Dillingham Census Area, Alaska",32.0,4847.0,0.6602021869197442,0.3280621737967475
76,0500000US02090,"Fairbanks North Star Borough, Alaska",95655.0,3104.0,3.244995034237625,Fairbanks North Star Borough,Alaska,6.003891512167452,"Fairbanks North Star Borough, Alaska",2591.0,97581.0,2.6552300140396183,0.5897650201980067
77,0500000US02100,"Haines Borough, Alaska",2080.0,14.0,0.6730769230769231,Haines Borough,Alaska,6.003891512167452,"Haines Borough, Alaska",14.0,2508.0,0.5582137161084529,0.11486320696847019
78,0500000US02105,"Hoonah-Angoon Census Area, Alaska",2365.0,16.0,0.6765327695560254,Hoonah-Angoon Census Area,Alaska,6.003891512167452,"Hoonah-Angoon Census Area, Alaska",12.0,2150.0,0.5581395348837209,0.11839323467230445
79,0500000US02110,"Juneau City and Borough, Alaska",32255.0,2101.0,6.513718803286313,Juneau City and Borough,Alaska,6.003891512167452,"Juneau City and Borough, Alaska",1919.0,31275.0,6.135891286970423,0.3778275163158895
80,0500000US02122,"Kenai Peninsula Borough, Alaska",58799.0,809.0,1.3758737393493088,Kenai Peninsula Borough,Alaska,6.003891512167452,"Kenai Peninsula Borough, Alaska",631.0,55400.0,1.1389891696750902,0.23688456967421856
81,0500000US02130,"Ketchikan Gateway Borough, Alaska",13948.0,1129.0,8.094350444508173,Ketchikan Gateway Borough,Alaska,6.003891512167452,"Ketchikan Gateway Borough, Alaska",943.0,13477.0,6.997106180900794,1.0972442636073785
82,0500000US02150,"Kodiak Island Borough, Alaska",13101.0,2803.0,21.395313334859935,Kodiak Island Borough,Alaska,6.003891512167452,"Kodiak Island Borough, Alaska",2660.0,13592.0,19.570335491465567,1.8249778433943682
83,0500000US02158,"Kusilvak Census Area, Alaska",8368.0,23.0,0.2748565965583174,Kusilvak Census Area,Alaska,6.003891512167452,"Kusilvak Census Area, Alaska",18.0,7459.0,0.24131921169057513,0.03353738486774227
84,0500000US02164,"Lake and Peninsula Borough, Alaska",1476.0,9.0,0.6097560975609756,Lake and Peninsula Borough,Alaska,6.003891512167452,"Lake and Peninsula Borough, Alaska",6.0,1631.0,0.3678724708767627,0.24188362668421287
85,0500000US02170,"Matanuska-Susitna Borough, Alaska",107081.0,1559.0,1.455907210429488,Matanuska-Susitna Borough,Alaska,6.003891512167452,"Matanuska-Susitna Borough, Alaska",1096.0,88995.0,1.2315298612281589,0.224377349201329
86,0500000US02180,"Nome Census Area, Alaska",10046.0,111.0,1.1049173800517618,Nome Census Area,Alaska,6.003891512167452,"Nome Census Area, Alaska",96.0,9492.0,1.0113780025284451,0.09353937752331665
87,0500000US02185,"North Slope Borough, Alaska",11031.0,641.0,5.810896564228084,North Slope Borough,Alaska,6.003891512167452,"North Slope Borough, Alaska",425.0,9430.0,4.506892895015906,1.304003669212178
88,0500000US02188,"Northwest Arctic Borough, Alaska",7793.0,55.0,0.7057615809059412,Northwest Arctic Borough,Alaska,6.003891512167452,"Northwest Arctic Borough, Alaska",42.0,7523.0,0.5582879170543665,0.14747366385157468
89,0500000US02195,"Petersburg Borough, Alaska",3398.0,123.0,3.6197763390229545,Petersburg Borough,Alaska,6.003891512167452,"Petersburg Borough, Alaska",100.0,3815.0,2.621231979030144,0.9985443599928105
90,0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",5753.0,27.0,0.46932035459760124,Prince of Wales-Hyder Census Area,Alaska,6.003891512167452,"Prince of Wales-Hyder Census Area, Alaska",21.0,5559.0,0.37776578521316784,0.0915545693844334
91,0500000US02220,"Sitka City and Borough, Alaska",8458.0,573.0,6.774651217781981,Sitka City and Borough,Alaska,6.003891512167452,"Sitka City and Borough, Alaska",529.0,8881.0,5.956536426078144,0.8181147917038372
92,0500000US02230,"Skagway Municipality, Alaska",1240.0,39.0,3.1451612903225805,Skagway Municipality,Alaska,6.003891512167452,"Skagway Municipality, Alaska",,,,
93,0500000US02240,"Southeast Fairbanks Census Area, Alaska",6808.0,87.0,1.2779083431257343,Southeast Fairbanks Census Area,Alaska,6.003891512167452,"Southeast Fairbanks Census Area, Alaska",64.0,7029.0,0.9105135865699245,0.3673947565558098
94,0500000US02275,"Wrangell City and Borough, Alaska",2127.0,25.0,1.1753643629525155,Wrangell City and Borough,Alaska,6.003891512167452,"Wrangell City and Borough, Alaska",33.0,2369.0,1.3929928239763614,-0.21762846102384592
95,0500000US02282,"Yakutat City and Borough, Alaska",662.0,32.0,4.833836858006042,Yakutat City and Borough,Alaska,6.003891512167452,"Yakutat City and Borough, Alaska",,,,
96,0500000US02290,"Yukon-Koyukuk Census Area, Alaska",5343.0,8.0,0.14972861688190156,Yukon-Koyukuk Census Area,Alaska,6.003891512167452,"Yukon-Koyukuk Census Area, Alaska",14.0,5588.0,0.25053686471009307,-0.1008082478281915
97,0500000US04001,"Apache County, Arizona",66021.0,312.0,0.4725769073476621,Apache County,Arizona,3.599663399380997,"Apache County, Arizona",203.0,71518.0,0.28384462652758746,0.18873228082007465
98,0500000US04003,"Cochise County, Arizona",125447.0,2712.0,2.161869155898507,Cochise County,Arizona,3.599663399380997,"Cochise County, Arizona",2525.0,131346.0,1.9224034230201148,0.239465732878392
99,0500000US04005,"Coconino County, Arizona",145101.0,2674.0,1.8428542877030483,Coconino County,Arizona,3.599663399380997,"Coconino County, Arizona",1846.0,134421.0,1.3732973270545523,0.46955696064849595
100,0500000US04007,"Gila County, Arizona",53272.0,445.0,0.8353356359813786,Gila County,Arizona,3.599663399380997,"Gila County, Arizona",273.0,53597.0,0.509356866988824,0.3259787689925546
101,0500000US04009,"Graham County, Arizona",38533.0,192.0,0.4982742065242779,Graham County,Arizona,3.599663399380997,"Graham County, Arizona",200.0,37220.0,0.537345513164965,-0.03907130664068714
102,0500000US04011,"Greenlee County, Arizona",9563.0,75.0,0.7842727177663914,Greenlee County,Arizona,3.599663399380997,"Greenlee County, Arizona",46.0,8437.0,0.5452174943700367,0.23905522339635465
103,0500000US04012,"La Paz County, Arizona",16557.0,115.0,0.6945702723923416,La Paz County,Arizona,3.599663399380997,"La Paz County, Arizona",107.0,20489.0,0.5222314412611645,0.1723388311311771
104,0500000US04013,"Maricopa County, Arizona",4420568.0,203696.0,4.607914639023764,Maricopa County,Arizona,3.599663399380997,"Maricopa County, Arizona",132225.0,3817117.0,3.4640017583951446,1.1439128806286192
105,0500000US04015,"Mohave County, Arizona",213267.0,2734.0,1.281961109782573,Mohave County,Arizona,3.599663399380997,"Mohave County, Arizona",2103.0,200186.0,1.0505230135973544,0.2314380961852185
106,0500000US04017,"Navajo County, Arizona",106717.0,567.0,0.5313117872503912,Navajo County,Arizona,3.599663399380997,"Navajo County, Arizona",580.0,107449.0,0.5397909706000056,-0.008479183349614394
107,0500000US04019,"Pima County, Arizona",1043433.0,31367.0,3.0061345577531093,Pima County,Arizona,3.599663399380997,"Pima County, Arizona",25731.0,980263.0,2.6249078053542774,0.38122675239883197
108,0500000US04021,"Pinal County, Arizona",425264.0,6718.0,1.579724594604763,Pinal County,Arizona,3.599663399380997,"Pinal County, Arizona",6492.0,375770.0,1.7276525534236369,-0.14792795881887377
109,0500000US04023,"Santa Cruz County, Arizona",47669.0,304.0,0.6377310201598523,Santa Cruz County,Arizona,3.599663399380997,"Santa Cruz County, Arizona",255.0,47420.0,0.5377477857444116,0.09998323441544066
110,0500000US04025,"Yavapai County, Arizona",236209.0,2932.0,1.2412736178553738,Yavapai County,Arizona,3.599663399380997,"Yavapai County, Arizona",1785.0,211033.0,0.8458392763217127,0.3954343415336611
111,0500000US04027,"Yuma County, Arizona",203881.0,2587.0,1.2688774334047803,Yuma County,Arizona,3.599663399380997,"Yuma County, Arizona",2324.0,195751.0,1.1872225429244294,0.0816548904803509
112,0500000US05001,"Arkansas County, Arkansas",17149.0,94.0,0.548136917604525,Arkansas County,Arkansas,1.7213543707438494,"Arkansas County, Arkansas",92.0,19019.0,0.4837267995162732,0.06441011808825181
113,0500000US05003,"Ashley County, Arkansas",19062.0,41.0,0.21508760885531422,Ashley County,Arkansas,1.7213543707438494,"Ashley County, Arkansas",40.0,21853.0,0.18304123003706585,0.03204637881824837
114,0500000US05005,"Baxter County, Arkansas",41627.0,234.0,0.5621351526653374,Baxter County,Arkansas,1.7213543707438494,"Baxter County, Arkansas",169.0,41513.0,0.4071013899260473,0.15503376273929015
115,0500000US05007,"Benton County, Arkansas",284333.0,13721.0,4.8256797487453085,Benton County,Arkansas,1.7213543707438494,"Benton County, Arkansas",6319.0,221339.0,2.8548967872810485,1.97078296146426
116,0500000US05009,"Boone County, Arkansas",37373.0,246.0,0.6582292029004897,Boone County,Arkansas,1.7213543707438494,"Boone County, Arkansas",156.0,36903.0,0.4227298593610275,0.23549934353946217
