,GEO_ID,NAME,P1_001N,P1_006N,PCT,COUNTY,STATE,PCT_STATE,PCT_DIFF
847,0500000US19115,"Louisa County, Iowa",10837.0,270.0,2.491464427424564,Louisa County,Iowa,2.370540837125737,0.12092359029882704
853,0500000US19127,"Marshall County, Iowa",40105.0,1517.0,3.7825707517765865,Marshall County,Iowa,2.370540837125737,1.4120299146508497
866,0500000US19153,"Polk County, Iowa",492401.0,24510.0,4.977650329710947,Polk County,Iowa,2.370540837125737,2.6071094925852103
871,0500000US19163,"Scott County, Iowa",174669.0,4858.0,2.7812605556795997,Scott County,Iowa,2.370540837125737,0.4107197185538629
874,0500000US19169,"Story County, Iowa",98537.0,5461.0,5.542080639759684,Story County,Iowa,2.370540837125737,3.171539802633947
886,0500000US19193,"Woodbury County, Iowa",105941.0,3008.0,2.839316223180827,Woodbury County,Iowa,2.370540837125737,0.46877538605509006
911,0500000US20045,"Douglas County, Kansas",118785.0,4685.0,3.9441006861135666,Douglas County,Kansas,2.9365733113673804,1.0075273747461861
916,0500000US20055,"Finney County, Kansas",38470.0,1548.0,4.023914738757473,Finney County,Kansas,2.9365733113673804,1.087341427390093
919,0500000US20061,"Geary County, Kansas",36739.0,1250.0,3.4023789433571956,Geary County,Kansas,2.9365733113673804,0.46580563198981517
934,0500000US20091,"Johnson County, Kansas",609863.0,33030.0,5.41597047205684,Johnson County,Kansas,2.9365733113673804,2.479397160689459
969,0500000US20161,"Riley County, Kansas",71959.0,3367.0,4.679053349824206,Riley County,Kansas,2.9365733113673804,1.7424800384568253
975,0500000US20173,"Sedgwick County, Kansas",523824.0,22511.0,4.2974357799566265,Sedgwick County,Kansas,2.9365733113673804,1.360862468589246
993,0500000US20209,"Wyandotte County, Kansas",169245.0,7705.0,4.5525717155602825,Wyandotte County,Kansas,2.9365733113673804,1.615998404192902
1001,0500000US21015,"Boone County, Kentucky",135968.0,3078.0,2.2637679453989175,Boone County,Kentucky,1.651768950312439,0.6119989950864784
1023,0500000US21059,"Daviess County, Kentucky",103312.0,2427.0,2.3491946724485055,Daviess County,Kentucky,1.651768950312439,0.6974257221360665
1027,0500000US21067,"Fayette County, Kentucky",322570.0,13427.0,4.1625073627429705,Fayette County,Kentucky,1.651768950312439,2.5107384124305314
1030,0500000US21073,"Franklin County, Kentucky",51541.0,1032.0,2.002289439475369,Franklin County,Kentucky,1.651768950312439,0.3505204891629301
1040,0500000US21093,"Hardin County, Kentucky",110702.0,2277.0,2.056873407887843,Hardin County,Kentucky,1.651768950312439,0.4051044575754039
1049,0500000US21111,"Jefferson County, Kentucky",782969.0,27115.0,3.4631000716503464,Jefferson County,Kentucky,1.651768950312439,1.8113311213379073
1086,0500000US21185,"Oldham County, Kentucky",67607.0,1177.0,1.7409439850903015,Oldham County,Kentucky,1.651768950312439,0.08917503477786237
1107,0500000US21227,"Warren County, Kentucky",134554.0,7326.0,5.4446541908824715,Warren County,Kentucky,1.651768950312439,3.7928852405700324
1121,0500000US22015,"Bossier Parish, Louisiana",128746.0,2396.0,1.8610286921535428,Bossier Parish,Louisiana,1.855785950190188,0.0052427419633547245
