,GEO_ID,NAME,P1_001N,P1_006N,PCT,COUNTY,STATE,PCT_STATE,PCT_DIFF
2827,0500000US51013,"Arlington County, Virginia",238643.0,27443.0,11.499604011012266,Arlington County,Virginia,7.130204823253907,4.299604011012266
2849,0500000US51059,"Fairfax County, Virginia",1150309.0,235050.0,20.433640004555297,Fairfax County,Virginia,7.130204823253907,13.233640004555298
2863,0500000US51087,"Henrico County, Virginia",334389.0,32296.0,9.658212441198724,Henrico County,Virginia,7.130204823253907,2.4582124411987243
2873,0500000US51107,"Loudoun County, Virginia",420959.0,89779.0,21.327255148363616,Loudoun County,Virginia,7.130204823253907,14.127255148363616
2880,0500000US51121,"Montgomery County, Virginia",99721.0,8347.0,8.370353285667012,Montgomery County,Virginia,7.130204823253907,1.1703532856670114
2893,0500000US51153,"Prince William County, Virginia",482204.0,50314.0,10.434173088568324,Prince William County,Virginia,7.130204823253907,3.2341730885683235
2919,0500000US51540,"Charlottesville city, Virginia",46553.0,4083.0,8.770648508151998,Charlottesville city,Virginia,7.130204823253907,1.570648508151998
2925,0500000US51600,"Fairfax city, Virginia",24146.0,4537.0,18.789861674811565,Fairfax city,Virginia,7.130204823253907,11.589861674811566
2926,0500000US51610,"Falls Church city, Virginia",14658.0,1499.0,10.226497475781143,Falls Church city,Virginia,7.130204823253907,3.0264974757811425
2936,0500000US51685,"Manassas Park city, Virginia",17219.0,1835.0,10.656832568674139,Manassas Park city,Virginia,7.130204823253907,3.4568325686741384
2950,0500000US51810,"Virginia Beach city, Virginia",459470.0,34305.0,7.466211069275469,Virginia Beach city,Virginia,7.130204823253907,0.2662110692754691
2970,0500000US53033,"King County, Washington",2269675.0,452475.0,19.93567360965777,King County,Washington,9.481756732817402,12.73567360965777
2984,0500000US53061,"Snohomish County, Washington",827957.0,101464.0,12.254742697990356,Snohomish County,Washington,9.481756732817402,5.054742697990355
2991,0500000US53075,"Whitman County, Washington",47973.0,3646.0,7.60010839430513,Whitman County,Washington,9.481756732817402,0.40010839430513023
