,GEO_ID,NAME,P1_001N,P1_006N,PCT,COUNTY,STATE,PCT_STATE
193,0500000US06013,"Contra Costa County, California",1165927,217823,18.682387490812033,Contra Costa County,California,15.392565821686018
216,0500000US06059,"Orange County, California",3186989,706813,22.17808094097595,Orange County,California,15.392565821686018
220,0500000US06067,"Sacramento County, California",1585055,281733,17.774335906325017,Sacramento County,California,15.392565821686018
224,0500000US06075,"San Francisco County, California",873965,296505,33.92641581756706,San Francisco County,California,15.392565821686018
225,0500000US06077,"San Joaquin County, California",779233,139323,17.879504589769684,San Joaquin County,California,15.392565821686018
227,0500000US06081,"San Mateo County, California",764442,230242,30.118962589705955,San Mateo County,California,15.392565821686018
229,0500000US06085,"Santa Clara County, California",1936259,759030,39.200850712637106,Santa Clara County,California,15.392565821686018
234,0500000US06095,"Solano County, California",453491,72766,16.045742914412855,Solano County,California,15.392565821686018
237,0500000US06101,"Sutter County, California",99633,18234,18.301165276564994,Sutter County,California,15.392565821686018
245,0500000US08001,"Adams County, Colorado",519572,23268,4.478301371128544,Adams County,Colorado,3.4609784966834174
247,0500000US08005,"Arapahoe County, Colorado",655070,42472,6.483581907277085,Arapahoe County,Colorado,3.4609784966834174
251,0500000US08013,"Boulder County, Colorado",330758,16450,4.973424679070498,Boulder County,Colorado,3.4609784966834174
252,0500000US08014,"Broomfield County, Colorado",74112,5146,6.943544905008636,Broomfield County,Colorado,3.4609784966834174
261,0500000US08031,"Denver County, Colorado",715522,27875,3.895757223397743,Denver County,Colorado,3.4609784966834174
263,0500000US08035,"Douglas County, Colorado",357978,20064,5.604813703635418,Douglas County,Colorado,3.4609784966834174
309,0500000US09001,"Fairfield County, Connecticut",957419,51341,5.362437971253965,Fairfield County,Connecticut,4.782520194434523
310,0500000US09003,"Hartford County, Connecticut",899498,53844,5.986005527527576,Hartford County,Connecticut,4.782520194434523
315,0500000US09013,"Tolland County, Connecticut",149788,8465,5.651320533020002,Tolland County,Connecticut,4.782520194434523
318,0500000US10003,"New Castle County, Delaware",570719,35200,6.167658690178529,New Castle County,Delaware,4.313256857935972
321,0500000US12001,"Alachua County, Florida",278468,18076,6.491230590229398,Alachua County,Florida,2.988561664916365
326,0500000US12011,"Broward County, Florida",1944375,75922,3.9046994535519124,Broward County,Florida,2.988561664916365
330,0500000US12019,"Clay County, Florida",218245,6804,3.117597195812046,Clay County,Florida,2.988561664916365
335,0500000US12031,"Duval County, Florida",995567,49467,4.968726363971485,Duval County,Florida,2.988561664916365
336,0500000US12033,"Escambia County, Florida",321905,10039,3.1186219536819872,Escambia County,Florida,2.988561664916365
348,0500000US12057,"Hillsborough County, Florida",1459762,71080,4.869286911154011,Hillsborough County,Florida,2.988561664916365
356,0500000US12073,"Leon County, Florida",292198,10590,3.6242547861381667,Leon County,Florida,2.988561664916365
366,0500000US12091,"Okaloosa County, Florida",211668,6802,3.2135230644216417,Okaloosa County,Florida,2.988561664916365
368,0500000US12095,"Orange County, Florida",1429908,78348,5.479233629016692,Orange County,Florida,2.988561664916365
369,0500000US12097,"Osceola County, Florida",388656,11803,3.036875797620518,Osceola County,Florida,2.988561664916365
372,0500000US12103,"Pinellas County, Florida",959107,34167,3.56237625207615,Pinellas County,Florida,2.988561664916365
375,0500000US12109,"St. Johns County, Florida",273425,9882,3.614153789887538,St. Johns County,Florida,2.988561664916365
379,0500000US12117,"Seminole County, Florida",470856,25615,5.440092087602155,Seminole County,Florida,2.988561664916365
418,0500000US13063,"Clayton County, Georgia",297595,13640,4.583410339555436,Clayton County,Georgia,4.471920408577072
420,0500000US13067,"Cobb County, Georgia",766149,42810,5.587685946206286,Cobb County,Georgia,4.471920408577072
423,0500000US13073,"Columbia County, Georgia",156010,7211,4.622139606435485,Columbia County,Georgia,4.471920408577072
431,0500000US13089,"DeKalb County, Georgia",764382,50384,6.5914686635739725,DeKalb County,Georgia,4.471920408577072
443,0500000US13113,"Fayette County, Georgia",119194,6419,5.385338188163834,Fayette County,Georgia,4.471920408577072
445,0500000US13117,"Forsyth County, Georgia",251283,45203,17.988881062387826,Forsyth County,Georgia,4.471920408577072
447,0500000US13121,"Fulton County, Georgia",1066710,80949,7.588660460668785,Fulton County,Georgia,4.471920408577072
454,0500000US13135,"Gwinnett County, Georgia",957062,127152,13.285659654233479,Gwinnett County,Georgia,4.471920408577072
495,0500000US13219,"Oconee County, Georgia",41799,2082,4.980980406229814,Oconee County,Georgia,4.471920408577072
548,0500000US15003,"Honolulu County, Hawaii",1016508,436853,42.97585459238885,Honolulu County,Hawaii,37.23718812509835
552,0500000US16001,"Ada County, Idaho",494967,13929,2.814127002406221,Ada County,Idaho,1.4591872355372664
571,0500000US16039,"Elmore County, Idaho",28666,800,2.7907625758738575,Elmore County,Idaho,1.4591872355372664
580,0500000US16057,"Latah County, Idaho",39517,981,2.4824758964496296,Latah County,Idaho,1.4591872355372664
584,0500000US16065,"Madison County, Idaho",52913,959,1.812409048815981,Madison County,Idaho,1.4591872355372664
593,0500000US16083,"Twin Falls County, Idaho",90046,1431,1.5891877484841084,Twin Falls County,Idaho,1.4591872355372664
605,0500000US17019,"Champaign County, Illinois",205865,24487,11.894688266582468,Champaign County,Illinois,5.891727052970426
611,0500000US17031,"Cook County, Illinois",5275541,413271,7.833717906845952,Cook County,Illinois,5.891727052970426
617,0500000US17043,"DuPage County, Illinois",932877,119672,12.82827210875603,DuPage County,Illinois,5.891727052970426
644,0500000US17097,"Lake County, Illinois",714342,59390,8.313944861144943,Lake County,Illinois,5.891727052970426
694,0500000US17197,"Will County, Illinois",696355,42849,6.153326966848806,Will County,Illinois,5.891727052970426
699,0500000US18003,"Allen County, Indiana",385410,18304,4.7492280947562335,Allen County,Indiana,2.4752532153724807
700,0500000US18005,"Bartholomew County, Indiana",82208,5390,6.556539509536785,Bartholomew County,Indiana,2.4752532153724807
